Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Ejecución No.,Elitismo,Mejor_Fitness,Diversidad_Final
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,27,True,66633.43611347987,0.03842105263157895
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,28,True,74989.81442351754,0.015000000000000005
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,29,True,68825.22788018355,0.02894736842105264
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,0,True,66633.43611347987,0.0318421052631579
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,1,True,66633.43611347987,0.02131578947368422
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,2,True,66633.43611347987,0.03289473684210527
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,3,True,67552.68156416502,0.025789473684210532
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,4,True,66633.43611347987,0.015526315789473687
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,5,True,71790.61503755504,0.02105263157894737
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,6,True,66633.43611347987,0.03789473684210527
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,7,True,66633.43611347987,0.02526315789473685
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,8,True,66633.43611347987,0.017894736842105265
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,9,True,66633.43611347987,0.026052631578947372
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,10,True,67172.96048361057,0.026052631578947376
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,11,True,67172.96048361057,0.03526315789473685
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,12,True,66633.43611347987,0.02131578947368421
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,13,True,66633.43611347987,0.03605263157894738
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,14,True,66633.43611347987,0.014210526315789476
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,15,True,66836.85134468594,0.046842105263157914
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,16,True,66633.43611347987,0.03605263157894738
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,17,True,66633.43611347987,0.033684210526315796
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,18,True,70377.30015361255,0.02763157894736843
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,19,True,66633.43611347987,0.024210526315789477
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,20,True,71381.55094407804,0.03500000000000001
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,21,True,66633.43611347987,0.013421052631578952
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,22,True,66633.43611347987,0.026052631578947376
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,23,True,66633.43611347987,0.03263157894736843
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,24,True,66633.43611347987,0.037631578947368426
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,25,True,66633.43611347987,0.015000000000000005
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,26,True,67552.68156416502,0.022105263157894742
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,27,True,70377.30015361255,0.021842105263157895
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,28,True,73957.29920104567,0.05289473684210527
cruce_bordes | mutacion_insercion | mut:0.1 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.1,100,29,True,67159.37709132125,0.03000000000000001
cruce_bordes | mutacion_insercion | mut:0.1 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.1,200,0,True,67552.68156416502,0.026842105263157903
cruce_bordes | mutacion_insercion | mut:0.1 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.1,200,1,True,66633.43611347987,0.04736842105263159
cruce_bordes | mutacion_insercion | mut:0.1 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.1,200,2,True,66633.43611347987,0.023421052631578957
cruce_bordes | mutacion_insercion | mut:0.1 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.1,200,3,True,66633.43611347987,0.01605263157894737
cruce_bordes | mutacion_insercion | mut:0.1 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.1,200,4,True,66633.43611347987,0.023947368421052637
cruce_bordes | mutacion_insercion | mut:0.1 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.1,200,5,True,66633.43611347987,0.023684210526315797
cruce_bordes | mutacion_insercion | mut:0.1 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.1,200,6,True,66633.43611347987,0.023157894736842106
cruce_bordes | mutacion_insercion | mut:0.1 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.1,200,7,True,67172.96048361057,0.023684210526315797
cruce_bordes | mutacion_insercion | mut:0.1 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.1,200,8,True,66633.43611347987,0.04526315789473685
cruce_bordes | mutacion_insercion | mut:0.1 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.1,200,9,True,67172.96048361057,0.024473684210526318
cruce_bordes | mutacion_insercion | mut:0.1 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.1,200,10,True,66633.43611347987,0.023947368421052637
cruce_bordes | mutacion_insercion | mut:0.1 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.1,200,11,True,66633.43611347987,0.02105263157894737
cruce_bordes | mutacion_insercion | mut:0.1 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.1,200,12,True,66633.43611347987,0.036578947368421065
cruce_bordes | mutacion_insercion | mut:0.1 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.1,200,13,True,66633.43611347987,0.02526315789473685
