Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Ejecución No.,Elitismo,Mejor_Fitness,Diversidad_Final
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,29,False,66633.43611347987,0.02289473684210527
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,0,True,67172.96048361057,0.013947368421052635
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,1,True,67172.96048361057,0.03
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,2,True,74226.9176045896,0.017894736842105262
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,3,True,66633.43611347987,0.052105263157894745
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,4,True,66633.43611347987,0.03
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,5,True,66633.43611347987,0.04026315789473684
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,6,True,67172.96048361057,0.031842105263157894
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,7,True,70936.68388745279,0.010263157894736842
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,8,True,71073.51061601081,0.03026315789473684
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,9,True,71790.61503755504,0.06421052631578947
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,10,True,67159.37709132125,0.04868421052631579
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,11,True,74394.07243146909,0.057631578947368436
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,12,True,66633.43611347987,0.04736842105263159
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,13,True,66836.85134468594,0.026842105263157893
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,14,True,66633.43611347987,0.057368421052631575
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,15,True,74209.39068532674,0.04
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,16,True,73686.09556822132,0.020526315789473684
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,17,True,66836.85134468594,0.10526315789473685
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,18,True,70246.19557725199,0.027631578947368424
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,19,True,66836.85134468594,0.003157894736842106
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,20,True,66633.43611347987,0.06394736842105264
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,21,True,71381.55094407804,0.00973684210526316
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,22,True,67172.96048361057,0.019473684210526317
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,23,True,71440.55930529138,0.0
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,24,True,66836.85134468594,0.02236842105263158
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,25,True,66633.43611347987,0.015526315789473687
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,26,True,74251.36462235762,0.025526315789473685
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,27,True,69603.94369405654,0.02
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,28,True,67108.77160171073,0.05842105263157895
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_desordenada,0.05,100,29,True,66633.43611347987,0.04394736842105264
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_desordenada,0.05,100,0,False,71232.68363753229,0.016842105263157898
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_desordenada,0.05,100,1,False,66633.43611347987,0.03710526315789473
cruce_bordes | mutacion_desordenada | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_desordenada,0.05,100,2,False,66633.43611347987,0.04552631578947368
