Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Elitismo,Mejor_Fitness,Ejecución No.,Diversidad_Final
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,133207.19456929443,6,0.22131578947368422
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,135018.05849224012,7,0.0781578947368421
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,130716.38792319318,8,0.31078947368421056
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,119140.5778048905,9,0.11157894736842106
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,126382.23168052192,10,0.19631578947368422
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,129383.24561489839,11,0.08973684210526316
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,133663.97110563813,12,0.12263157894736841
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,122004.83164546409,13,0.10684210526315789
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,140251.60274212013,14,0.08894736842105264
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,140682.42527989624,15,0.10499999999999998
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,131502.3370222772,16,0.23105263157894737
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,133977.02159092994,17,0.1394736842105263
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,122734.72481054782,18,0.09473684210526315
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,130123.34264922341,19,0.115
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,130676.08249220565,20,0.08026315789473686
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,137985.60904301965,21,0.11342105263157894
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,132872.3803013158,22,0.08078947368421051
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,136452.41480406787,23,0.13763157894736844
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,123993.13171675008,24,0.08789473684210526
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,134606.22944103964,25,0.14473684210526316
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,133304.48750225332,26,0.09578947368421051
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,128153.26413845956,27,0.13789473684210524
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,113154.42350611072,28,0.09473684210526315
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,120630.40028573658,29,0.09421052631578947
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,126496.20349237404,0,0.1518421052631579
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,101407.03763439071,1,0.14078947368421052
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,129678.16010528289,2,0.14605263157894738
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,117065.10831565721,3,0.10342105263157894
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,129514.77391233432,4,0.10578947368421052
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,128151.30903668322,5,0.1286842105263158
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,115018.16654901607,6,0.09236842105263157
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,113294.430911088,7,0.12315789473684209
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,128769.10164325737,8,0.17763157894736842
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,128848.46519251916,9,0.07894736842105263
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,130376.27771512774,10,0.12157894736842106
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,113826.09130467926,11,0.11421052631578946
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,129560.03204515786,12,0.06921052631578947
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,129612.72139675143,13,0.17078947368421052
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,133246.93656250503,14,0.21789473684210528
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,129835.50546720426,15,0.11105263157894736
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,129053.53776718829,16,0.1
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,116684.89532817143,17,0.13157894736842107
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,126171.26070741857,18,0.11657894736842106
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,129902.60564203313,19,0.1518421052631579
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,127172.25297667037,20,0.15605263157894736
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,117025.38879501294,21,0.22236842105263158
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,120422.0366019151,22,0.12394736842105264
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,107229.43199899392,23,0.15605263157894736
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,120543.6641808921,24,0.09842105263157894
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,120898.46116365043,25,0.10868421052631579
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,124944.76530795943,26,0.11157894736842106
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,129642.43600705548,27,0.1294736842105263
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,128659.70910584411,28,0.3505263157894737
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.1,100,True,126535.83128283347,29,0.18289473684210528
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.1,200,True,121586.14267566589,0,0.15815789473684208
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.1,200,True,125353.94080046806,1,0.10210526315789473
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.1,200,True,126975.65213577973,2,0.11894736842105263
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.1,200,True,122678.41110711562,3,0.12078947368421052
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.1,200,True,112877.86038492329,4,0.09684210526315788
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.1,200,True,126350.66308578082,5,0.08236842105263158
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.1,200,True,110680.82220889746,6,0.11605263157894737
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.1,200,True,121832.65586367903,7,0.1423684210526316
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.1,200,True,121378.56882954661,8,0.09947368421052633
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.1,200,True,122348.50963109649,9,0.13236842105263158
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.1,200,True,121561.48804540426,10,0.14894736842105263
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.1,200,True,121309.83517508833,11,0.1194736842105263
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.1,200,True,116717.9911848468,12,0.09763157894736843
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.1,200,True,121175.48359024191,13,0.15710526315789475
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.1,200,True,129447.68717607643,14,0.18526315789473685
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.1,200,True,121131.4842713579,15,0.11552631578947369
